Lose,104.752,374,405,Minimax
Lose,96.341,340,404,Minimax
Win,132.914,404,404,Minimax
Win,123.618,407,407,Minimax
Win,128.993,406,406,Minimax
Win,111.698,403,403,Minimax
Win,134.658,403,403,Minimax
Lose,63.3819,218,404,Minimax
Lose,155.712,321,407,Minimax
Lose,115.034,404,405,Minimax
Lose,94.833,372,402,Minimax
Lose,75.3998,244,406,Minimax
Lose,106.997,378,404,Minimax
Lose,85.253,297,411,Minimax
Lose,89.813,324,405,Minimax
Lose,78.585,295,408,Minimax
Win,131.22,404,404,Minimax
Win,125.021,408,408,Minimax
Win,128.004,404,404,Minimax
Win,109.43,405,405,Minimax
Lose,83.29,158,402,Minimax
Win,126.41,408,408,Minimax
Win,143.21,405,405,Minimax
Lose,107.69,356,405,Minimax
Win,117.56,402,402,Minimax
Win,110.74,402,402,Minimax
Win,119.82,408,408,Minimax
Win,143.89,400,400,Minimax
Win,156.23,407,407,Minimax
Win,151.93,410,410,Minimax
Lose,115.344,351,407,Minimax
Win,141.636,406,406,Minimax
Win,148.334,407,407,Minimax
Win,139.828,408,408,Minimax
Win,139.753,405,405,Minimax
Win,151.585,408,408,Minimax
Lose,116.66,335,405,Minimax
Lose,122.719,399,407,Minimax
Win,142.678,407,407,Minimax
Win,141.223,405,405,Minimax
Win,139.895,404,404,Minimax
Win,152.003,405,405,Minimax
Win,129.529,410,410,Minimax
Win,135.382,408,408,Minimax
Win,154.298,405,405,Minimax
Win,164.591,407,407,Expectimax
Lose,74.9259,238,405,Expectimax
Win,143.181,407,407,Expectimax
Win,128.531,407,407,Expectimax
Lose,104.221,347,408,Expectimax
Win,143.581,404,404,Expectimax
Lose,142.265,401,409,Expectimax
Win,135.79,407,407,Expectimax
Win,145.252,408,408,Expectimax
Win,149.845,412,412,Expectimax
Win,136.003,403,403,Expectimax
Win,154.652,411,411,Expectimax
Lose,85.7052,301,407,Expectimax
Win,146.785,405,405,Expectimax
Win,141.065,406,406,Expectimax
Win,133.84,407,407,Expectimax
Win,174.055,403,403,Expectimax
Lose,105.4,351,403,Expectimax
Win,147.757,403,403,Expectimax
Win,146.992,406,406,Expectimax
Win,154.992,403,403,Expectimax
Win,135.933,403,403,Expectimax
Win,169.95,409,409,Expectimax
Win,174.48,401,401,Expectimax
Lose,139.55,391,408,Expectimax
Win,137.392,403,403,Expectimax
Win,132.732,404,404,Expectimax
Win,150.542,409,409,Expectimax
Win,146.85,405,405,Expectimax
Win,144.422,405,405,Expectimax
Win,133.291,403,403,Expectimax
Lose,89.3228,257,405,Expectimax
Win,152.415,407,407,Expectimax
Win,149.355,409,409,Expectimax
Win,133.774,404,404,Expectimax
Lose,92.1732,317,411,Expectimax
Win,161.463,403,403,Expectimax
Lose,121.745,381,401,Expectimax
Lose,112.492,341,404,Expectimax
Lose,120.287,372,411,Expectimax
Lose,128.971,365,408,Expectimax
Win,140.808,408,408,Expectimax
Win,137.058,408,408,Expectimax
Win,139.477,404,404,Expectimax
Win,147.689,405,405,Expectimax
Lose,120.841,372,407,Expectimax
Win,131.963,409,409,Expectimax
Win,121.809,405,405,Expectimax
Lose,98.4379,316,404,Expectimax
Lose,113.185,359,404,Expectimax
Lose,148.454,400,403,Expectimax
Win,160.283,407,407,Expectimax
Win,152.003,403,403,Expectimax
Win,154.439,409,409,Expectimax
Win,141.567,408,408,Expectimax
Win,147.058,405,405,Expectimax
Lose,133.151,393,407,Expectimax
Lose,77.2924,237,404,Expectimax
Win,157.076,406,406,Expectimax
Win,153.323,407,407,Expectimax
Win,156.944,403,403,Expectimax
Lose,85.984,278,406,Expectimax
Lose,72.5531,279,409,Expectimax
Win,155,405,405,Expectimax
Win,168.138,406,406,Expectimax
Win,150.331,403,403,Expectimax
Lose,114.93,363,401,Expectimax
Win,126.543,405,405,Expectimax
Win,167.172,407,407,Expectimax
Win,137.524,407,407,Expectimax
Win,140.667,405,405,Expectimax
Lose,108.175,323,407,Expectimax
Win,146.508,405,405,Expectimax
Win,166.818,407,407,Expectimax
Lose,51.3459,141,405,Expectimax
Win,147.202,402,402,Expectimax
Win,151.029,407,407,Expectimax
Win,138.294,407,407,Expectimax
Lose,122.508,358,407,Minimax
